title,price_gbp,price_inr,rating,in_stock,category
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,True,Mystery
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,True,Mystery
The Girl You Lost,12.29,1296.59,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.18,3,True,Mystery
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,True,Mystery
1st to Die (Women's Murder Club #1),53.98,5694.89,1,True,Mystery
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4532.28,4,True,Science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,6051.48,5,True,Science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4720.07,4,True,Science
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,3961.52,1,True,Science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,5898.5,1,True,Science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,2997.26,1,True,Science
The Origin of Species,10.01,1056.06,4,True,Science
The Grand Design,13.76,1451.68,3,True,Science
Peak: Secrets from the New Science of Expertise,16.28,1717.54,2,True,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,1374.66,4,True,Science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,6050.42,5,True,Science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2725.06,2,True,Science
Seven Brief Lessons on Physics,30.6,3228.3,4,True,Science
The Selfish Gene,29.45,3106.98,1,True,Science
The Secret Garden,15.08,1590.94,4,True,Classics
The Metamorphosis,28.58,3015.19,1,True,Classics
The Pilgrim's Progress,50.26,5302.43,2,True,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,1563.51,2,True,Classics
Little Women (Little Women #1),28.07,2961.38,4,True,Classics
Gone with the Wind,32.49,3427.7,3,True,Classics
Candide,58.63,6185.46,3,True,Classics
Animal Farm,57.22,6036.71,3,True,Classics
Wuthering Heights,17.73,1870.52,3,True,Classics
The Picture of Dorian Gray,29.7,3133.35,2,True,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,True,Classics
Beowulf,38.35,4045.92,2,True,Classics
And Then There Were None,35.01,3693.56,2,True,Classics
The Story of Hong Gildong,43.19,4556.54,4,True,Classics
The Little Prince,45.42,4791.81,2,True,Classics
Sense and Sensibility,37.46,3952.03,1,True,Classics
Of Mice and Men,47.11,4970.1,2,True,Classics
Emma,32.93,3474.12,2,True,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.42,1,True,Classics
Tipping the Velvet,53.74,5669.57,1,True,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,True,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,True,Historical Fiction
The House by the Lake,36.95,3898.23,1,True,Historical Fiction
Mrs. Houdini,30.25,3191.38,5,True,Historical Fiction
The Marriage of Opposites,28.08,2962.44,4,True,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,True,Historical Fiction
"Love, Lies and Spies",20.55,2168.02,2,True,Historical Fiction
A Paris Apartment,39.01,4115.55,4,True,Historical Fiction
Lilac Girls,17.28,1823.04,2,True,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,1753.41,3,True,Historical Fiction
The Invention of Wings,37.34,3939.37,1,True,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,3478.34,4,True,Historical Fiction
The Passion of Dolssa,28.32,2987.76,5,True,Historical Fiction
Girl With a Pearl Earring,26.77,2824.24,1,True,Historical Fiction
Voyager (Outlander #3),21.07,2222.89,5,True,Historical Fiction
The Red Tent,35.66,3762.13,5,True,Historical Fiction
The Last Painting of Sara de Vos,55.55,5860.52,2,True,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1,True,Historical Fiction
Girl in the Blue Coat,46.83,4940.56,2,True,Historical Fiction
Between Shades of Gray,20.79,2193.34,5,True,Historical Fiction
While You Were Mine,41.32,4359.26,5,True,Historical Fiction
The Secret Healer,34.56,3646.08,3,True,Historical Fiction
Starlark,25.83,2725.06,3,True,Historical Fiction
Lost Among the Living,27.7,2922.35,4,True,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,True,Historical Fiction
The Dirty Little Secrets of Getting Your Dream Job,33.34,3517.37,4,True,Business
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,1330.36,5,True,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,2906.52,3,True,Business
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2530.94,2,True,Business
Made to Stick: Why Some Ideas Survive and Others Die,38.85,4098.68,5,True,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,4551.27,1,True,Business
The Art of Startup Fundraising,21.0,2215.5,3,True,Business
Born for This: How to Find the Work You Were Meant to Do,21.59,2277.74,5,True,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,3894.0,1,True,Business
"Rich Dad, Poor Dad",51.74,5458.57,1,True,Business
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3578.56,3,True,Business
Rework,44.88,4734.84,2,True,Business
In Her Wake,12.84,1354.62,1,True,Thriller
The Elephant Tree,23.82,2513.01,5,True,Thriller
Behind Closed Doors,52.22,5509.21,4,True,Thriller
You (You #1),43.61,4600.85,5,True,Thriller
The Guilty (Will Robie #4),13.82,1458.01,2,True,Thriller
The 14th Colony (Cotton Malone #11),39.24,4139.82,1,True,Thriller
Give It Back,18.32,1932.76,2,True,Thriller
Killing Floor (Jack Reacher #1),31.49,3322.2,4,True,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,6299.4,3,True,Thriller
Far From True (Promise Falls Trilogy #2),34.93,3685.12,2,True,Thriller
The Travelers,15.77,1663.74,1,True,Thriller
